uberon_id	xref
UBERON:0000002	BTO:0001421
UBERON:0000002	BTO:0002249
UBERON:0000004	BTO:0000840
UBERON:0000006	BTO:0000991
UBERON:0000007	BTO:0001073
UBERON:0000009	BTO:0002107
UBERON:0000010	BTO:0001028
UBERON:0000011	BTO:0001833
UBERON:0000013	BTO:0001832
UBERON:0000016	BTO:0000650
UBERON:0000017	BTO:0000434
UBERON:0000018	BTO:0001921
UBERON:0000019	BTO:0004688
UBERON:0000020	BTO:0000202
UBERON:0000022	BTO:0000447
UBERON:0000023	BTO:0001463
UBERON:0000026	BTO:0001492
UBERON:0000029	BTO:0000784
UBERON:0000030	BTO:0002330
UBERON:0000033	BTO:0000282
UBERON:0000035	BTO:0000410
UBERON:0000038	BTO:0004383
UBERON:0000043	BTO:0001356
UBERON:0000044	BTO:0001264
UBERON:0000045	BTO:0000497
UBERON:0000053	BTO:0003015
UBERON:0000056	BTO:0001409
UBERON:0000057	BTO:0001426
UBERON:0000059	BTO:0000706
UBERON:0000066	BTO:0001043
UBERON:0000069	BTO:0000915
UBERON:0000069	BTO:0000954
UBERON:0000074	BTO:0000530
UBERON:0000079	BTO:0000082
UBERON:0000080	BTO:0001542
UBERON:0000081	BTO:0001543
UBERON:0000084	BTO:0001646
UBERON:0000085	BTO:0001508
UBERON:0000086	BTO:0003135
UBERON:0000088	BTO:0001079
UBERON:0000089	BTO:0003953
UBERON:0000100	BTO:0001695
UBERON:0000112	BTO:0002168
UBERON:0000115	BTO:0001653
UBERON:0000118	BTO:0001643
UBERON:0000121	BTO:0003153
UBERON:0000124	BTO:0003154
UBERON:0000128	BTO:0002299
UBERON:0000151	BTO:0004653
UBERON:0000152	BTO:0004651
UBERON:0000155	BTO:0002853
UBERON:0000156	BTO:0002852
UBERON:0000157	BTO:0002851
UBERON:0000159	BTO:0001978
UBERON:0000160	BTO:0000648
UBERON:0000165	BTO:0001090
UBERON:0000165	BTO:0004698
UBERON:0000173	BTO:0000068
UBERON:0000174	BTO:0000491
UBERON:0000178	BTO:0000089
UBERON:0000200	BTO:0002495
UBERON:0000203	BTO:0003399
UBERON:0000204	BTO:0003401
UBERON:0000301	BTO:0000025
UBERON:0000303	BTO:0000029
UBERON:0000304	BTO:0000051
UBERON:0000305	BTO:0000065
UBERON:0000307	BTO:0000128
UBERON:0000309	BTO:0000139
UBERON:0000310	BTO:0000149
UBERON:0000311	BTO:0000151
UBERON:0000313	BTO:0000207
UBERON:0000314	BTO:0000213
UBERON:0000315	BTO:0000230
UBERON:0000316	BTO:0000242
UBERON:0000317	BTO:0000271
UBERON:0000319	BTO:0000322
UBERON:0000320	BTO:0000367
UBERON:0000323	BTO:0000449
UBERON:0000325	BTO:0000503
UBERON:0000326	BTO:0000504
UBERON:0000328	BTO:0000547
UBERON:0000329	BTO:0000555
UBERON:0000331	BTO:0000619
UBERON:0000332	BTO:0000635
UBERON:0000333	BTO:0000640
UBERON:0000341	BTO:0000828
UBERON:0000344	BTO:0000886
UBERON:0000345	BTO:0000894
UBERON:0000347	BTO:0000900
UBERON:0000348	BTO:0000926
UBERON:0000349	BTO:0000928
UBERON:0000351	BTO:0000952
UBERON:0000355	BTO:0001047
UBERON:0000358	BTO:0001099
UBERON:0000361	BTO:0001160
UBERON:0000362	BTO:0001167
UBERON:0000363	BTO:0001174
UBERON:0000365	BTO:0003906
UBERON:0000366	BTO:0001257
UBERON:0000368	BTO:0001288
UBERON:0000369	BTO:0001311
UBERON:0000370	BTO:0001312
UBERON:0000371	BTO:0001335
UBERON:0000372	BTO:0001337
UBERON:0000375	BTO:0001375
UBERON:0000376	BTO:0001376
UBERON:0000377	BTO:0001378
UBERON:0000378	BTO:0001386
UBERON:0000379	BTO:0001390
UBERON:0000381	BTO:0001453
UBERON:0000382	BTO:0001458
UBERON:0000383	BTO:0001369
UBERON:0000383	BTO:0001485
UBERON:0000387	BTO:0001592
UBERON:0000388	BTO:0001628
UBERON:0000389	BTO:0001632
UBERON:0000390	BTO:0001633
UBERON:0000391	BTO:0001634
UBERON:0000392	BTO:0001648
UBERON:0000395	BTO:0001688
UBERON:0000396	BTO:0001705
UBERON:0000397	BTO:0001709
UBERON:0000399	BTO:0001742
